word,weight
ফেনী,0.0004492912211664333
দাবি,0.0004492912211664328
কলেজে,0.00044851696727258244
প্রত্যাহারের,0.00044851696727258184
ছাত্রদের,0.00044775115009943297
সিদ্ধান্ত,0.00044775115009943253
নেয়া,0.0004471408933102908
দোকান,0.00044714089331029033
ইফতার,0.00044699369434573306
নির্ধারণের,0.00044699369434573246
পণ্ড,0.00044624452521102896
মূল্য,0.0004462445252110284
করল,0.00044550356840962696
পণ্যের,0.00044550356840962653
চাঁদা,0.00044498863328514877
মালিক,0.0004449886332851483
ছাত্রলীগ,0.00044477075018188724
২৯,0.0004447707501818868
কণ্ঠশিল্পী,0.0004440459973031383
প্রকাশ,0.00044404599730313787
খালিদ,0.00044332923709047037
ফল,0.00044332923709046993
দিয়ে,0.0004428344187970974
সমিতির,0.00044283441879709685
আওয়ামী,0.0004426203974076381
পরীক্ষার,0.00044262039740763774
লীগ,0.0004419194066682811
ভর্তি,0.0004419194066682808
সরকারকে,0.0004412261938376473
শিক্ষাবর্ষের,0.000441226193837647
হুমকি,0.00044067822727138185
মানুষের,0.00044067822727138136
উৎখাত,0.00044054068843298885
২৪,0.0004405406884329886
অসম্ভব,0.0004398628205227783
২০২৪,0.000439862820522778
প্রধানমন্ত্রী,0.0004391925207248834
বুয়েটের,0.0004391925207248831
সিয়াম,0.00043852972020382
২২৫,0.00043852972020381965
মালিকদের,0.0004385200358470862
নিরাপদ,0.0004385200358470857
সাধনার,0.0004378743506671932
নিহত,0.00043787435066719286
মাস,0.00043722634436142623
গণপিটুনিতে,0.0004372263443614259
সাহরি,0.00043658563406686354
বছরে,0.00043658563406686316
রেস্তোরাঁ,0.00043635982137168143
ঈদযাত্রা,0.00043635982137168094
বরকতপূর্ণ,0.0004359521530923299
সাড়ে,0.00043595215309232953
আহার,0.00043532583526921596
মৃত্যু,0.0004353258352692156
গাজার,0.00043470661494515516
শিক্ষার্থীর,0.0004347066149451549
অভিযোগ,0.0004341975603954367
নিশ্চিতের,0.0004341975603954362
আল,0.00043409442697735055
জবি,0.0004340944269773502
শিফা,0.0004334892067256015
হয়ে,0.0004334892067256011
হাসপাতালে,0.0004328908900450806
আক্রান্ত,0.0004328908900450802
রাতভর,0.00043229941327890006
হৃদরোগে,0.0004322994132788997
সমিতির,0.00043203322916568585
পুলিশ,0.0004320332291656854
ইসরাইলি,0.00043171471325050627
অভিযোগ,0.0004317147132505059
হামলা,0.0004311367272559373
লুটের,0.0004311367272559369
নিশ্চিত,0.00043056539305597193
মালামাল,0.00043056539305597155
মন্দিরা,0.0004300006488681997
হামলা,0.00043000064886819934
মালিক,0.00042986680362094745
আইজিপি,0.00042986680362094696
চক্রবর্তী,0.00042944243335903435
সন্ত্রাসী,0.000429442433359034
রেহান,0.00042889068563569413
প্রতিষ্ঠানে,0.0004288906856356938
রাসূলে,0.00042834534523816705
ব্যবসা,0.00042834534523816673
মুগ্ধতা,0.0004278063521311794
নোয়াখালীতে,0.0004278063521311791
উদ্বেগ,0.0004276982593848916
কৌশলে,0.0004276982593848911
বাড়ছে,0.0004272736466961827
নিহত,0.0004272736466961824
শ্রোতাদের,0.0004267471697233723
যুবক,0.0004267471697233721
বেইলি,0.00042622686240375137
ঈদগাঁওয়ের,0.0004262268624037511
রোডের,0.00042571266632124787
দুর্ঘটনায়,0.0004257126663212477
চেয়ারম্যানের,0.00042552757176015027
বড়,0.0004255275717601498
অগ্নিকাণ্ড,0.00042520452344489864
সড়ক,0.00042520452344489847
নাটক,0.0004247023761211037
সৌদিতে,0.0004247023761211036
ঈদে,0.0004242061670659622
পালন,0.000424206167065962
মুক্তি,0.000423715839357694
কর্মসূচি,0.0004237158393576938
কাউন্সিলের,0.00042335471572196463
শাস্তি,0.00042335471572196414
পেতে,0.00042323133642915324
অবরোধ,0.00042323133642915297
যেসব,0.0004227526020604385
দাবিতে,0.0004227526020604382
চলচ্চিত্র,0.000422279580371603
সড়কের,0.0004222795803716028
দেশে,0.00042181221581546904
নিরাপদ,0.00042181221581546883
কোটিপতির,0.00042135045317054885
সিলেটে,0.00042135045317054864
শিপার্স,0.0004211796659116646
বাঁচলেন,0.0004211796659116641
সংখ্যা,0.000420894237534074
অনুষ্ঠিত,0.00042089423753407374
বাড়ছে,0.0004204435143151363
মাহফিল,0.000420443514315136
সংখ্যাগরিষ্ঠরা,0.00041999822922794016
ইফতার,0.00041999822922793984
শোষিত,0.000419558328285168
আয়োজনে,0.0004195583282851676
বঞ্চিত,0.0004191237577914602
প্রেসক্লাবের,0.0004191237577914598
ঘটনায়,0.0004190023966299754
হাসারাঙ্গা,0.00041900239662997504
খাদ্যনিরাপত্তা,0.0004186944643370086
রাবি,0.0004186944643370083
ঝুঁকিতে,0.0004182703947912648
আপলাইন,0.00041827039479126445
দেশ,0.00041785149629676216
হয়নি,0.00041785149629676183
ক্ষুধা,0.0004174377162630527
সচল,0.0004174377162630524
নিবৃত্তির,0.0004170290023607564
দিনেও,0.0004170290023607561
ছিনতাইয়ের,0.000416822881830145
খেলা,0.0004168228818301445
উন্নয়ন,0.00041662530251572374
২,0.00041662530251572347
চাই,0.00041622656490331066
দুর্ঘটনা,0.00041622656490331034
যুক্তরাষ্ট্রে,0.0004158327379427629
ট্রেন,0.0004158327379427626
করোনার,0.00041544377029171245
কুমিল্লায়,0.0004154437702917122
বিয়ের,0.0004150596108407806
মিলবে,0.00041505961084078026
হার,0.0004146802087082895
মুক্তি,0.00041468020870828927
আবদুল্লাহ,0.00041464109511088585
টেস্ট,0.00041464109511088536
