id,title,body_len,T3_rank,T3_S_scale,T3_S_score
20573853,"

বগুড়ায় পথচারীদের মধ্যে ১ টাকায় ইফতার বিতরণ
",92,376.0,0.031042128603104215,3.1042128603104215
20600838,"

ডিএমপির অভিযানে গ্রেফতার ২১
",91,377.0,0.030598669623059866,3.0598669623059864
20573902,"

চ্যাম্পিয়ন ইসলামাবাদ ইউনাইটেড 
",89,378.0,0.029711751662971176,2.9711751662971175
20573818,"

 কৃষি ঋণ প্রদানে ইবিএল-আইফার্মার চুক্তি
",88,379.0,0.02926829268292683,2.9268292682926833
20573912,চন্দনাইশে অবৈধভাবে মাটি কাটার দায়ে ইটভাটায় জরিমানা,86,380.0,0.028381374722838137,2.8381374722838135
20603725,"

চীনে এক্সপ্রেসওয়ের টানেলে বাস দুর্ঘটনায় নিহত ১৪
",82,381.0,0.026607538802660754,2.6607538802660753
20573832,"

৯ পয়েন্ট নিয়েই বিশ্বকাপের প্রস্তুতি চায় অসি নারী দল
",79,382.0,0.025277161862527715,2.5277161862527717
20573998,দেশের প্রেক্ষাগৃহে নোলানের দুই ছবি,78,383.0,0.02483370288248337,2.483370288248337
20573811,"

মলদোভা থেকে রুশ কূটনীতিক বহিষ্কার 
",77,384.0,0.024390243902439025,2.4390243902439024
20573843,"

 সৌদিতে সড়ক দুর্ঘটনায় ঈদগাঁওয়ের যুবক নিহত
",76,385.0,0.02394678492239468,2.394678492239468
20579049,"

ইউরোর বিপরীতে জাপানি ইয়েনের মান ১৬ বছরের মধ্যে সর্বনিম্ন
",76,385.0,0.02394678492239468,2.394678492239468
20576759,"

নীলফামারীতে ট্রাক ও অটোরিকশার মুখোমুখি সংঘর্ষে নিহত ২
",74,387.0,0.023059866962305987,2.305986696230599
20576478,"

চীনে সড়ক দুর্ঘটনায় নিহত ১৪
",74,387.0,0.023059866962305987,2.305986696230599
20573999,শিল্পার কাণ্ড,74,387.0,0.023059866962305987,2.305986696230599
20579036,"

পাকিস্তানে কয়লা খনি ধস, মৃত্যু ১২
",74,387.0,0.023059866962305987,2.305986696230599
20573880,"

বিএনপির তিন নেতার পদন্নোতি
",74,387.0,0.023059866962305987,2.305986696230599
20573825,"

রাজারহাটে ৬৫০ টাকায় দেশী গরুর গোশত বিক্রি শুরু
",69,392.0,0.020842572062084258,2.084257206208426
20576484,হাইকোর্টে আগাম জামিন পেলেন নাহিদ সুলতানা যুথি,68,393.0,0.020399113082039913,2.0399113082039912
20573802,"
জানা-অজানা 
অ্যান্টিবায়োটিক
",66,394.0,0.01951219512195122,1.951219512195122
20573808,"

অরুনাচল নিয়ে চীনের দাবি অযৌক্তিক : ভারত
",65,395.0,0.019068736141906874,1.9068736141906875
20573917,রাকিব-অবন্তীর ‘নিশ্চুপ প্রজাপ্রতি’,64,396.0,0.01862527716186253,1.862527716186253
20587814,"
ভারতের লোকসভা নির্বাচন 
ওআইসির আসনে সুপ্রিম কোর্টের আইনজীবী শাহনাজ তাবাসসুমকে প্রার্থী করবে কংগ্রেস
",64,396.0,0.01862527716186253,1.862527716186253
20573915,কন্যার মা হলেন লিজা,63,398.0,0.01818181818181818,1.8181818181818181
20573916,সেন্সর ছাড়পত্র পেলো ‘ডেডবডি’,63,398.0,0.01818181818181818,1.8181818181818181
20573904,"

 ধর্ষকের শাস্তি দাবিতে তালায় মানববন্ধন
",58,400.0,0.015964523281596452,1.5964523281596452
20573801,"

ইতিহাসে আজ
",55,401.0,0.014634146341463415,1.4634146341463417
20573796,"

হাদিসের কথা
",52,402.0,0.013303769401330377,1.3303769401330376
20576483,গোপালগঞ্জে সড়ক দুর্ঘটনায় নিহত ৫,50,403.0,0.012416851441241685,1.2416851441241685
20573798,"

আল কুরআনের বাণী
",50,403.0,0.012416851441241685,1.2416851441241685
20576472,"

গোপালগঞ্জে সড়ক দুর্ঘটনায় নিহত ৫
",39,405.0,0.00753880266075388,0.753880266075388
20573829,"

আজকের খেলা
",22,406.0,0.0,0.0
