id,title,body_len,T3_rank,T3_S_scale,T3_S_score
20171578,"

সুপ্রিম কোর্টের ধমক খেয়ে নির্বাচনী বন্ডের তথ্য জমা দিল ভারতের বৃহত্তম ব্যাঙ্ক
",1466,1.0,1.0,100.0
20168298,"

 রমজানের পূর্বপ্রস্তুতি
",1410,2.0,0.9611111111111111,96.11111111111111
20170689,"
সুশাসন 
কৃষি হতে পারে আমাদের সমৃদ্ধির মূল চালিকাশক্তি
",1383,3.0,0.9423611111111111,94.23611111111111
20168348,"
সুশাসন 
কৃষি হতে পারে আমাদের সমৃদ্ধির মূল চালিকাশক্তি
",1379,4.0,0.9395833333333333,93.95833333333333
20170539,"

মানহীন মেশিনে অচল এআইএসের আধুনিক প্রেস
	কোটি কোটি টাকা লোপাটের অভিযোগ
",1223,5.0,0.83125,83.125
20173716,"

মুসলমানদের কাটা ঘায়ে নুনের ছিটা
",1100,6.0,0.7458333333333333,74.58333333333333
20170985,"

পাকিস্তানের একটি দোকানে পার্সোনাল কম্পিউটারের প্রথম ভাইরাস ব্রেইনের জন্ম হয়েছিল যেভাবে
",1078,7.0,0.7305555555555555,73.05555555555556
20044738,খাদ্যের মূল্যবৃদ্ধিতে আমরাও মানবিক বিপর্যয়ের মুখোমুখি,1052,8.0,0.7125,71.25
20170886,"

রমজানে যা খাওয়া যাবে, যা যাবে না
",1012,9.0,0.6847222222222222,68.47222222222223
20051322,সর্বোচ্চ বিচারঙ্গনের আইনজীবীদের মর্যাদা ধুলোয় মিশিয়ে দিয়েছে সরকার: রিজভী,964,10.0,0.6513888888888889,65.13888888888889
20170294,"

  প্রাইম ব্যাংক, আবাহনী ও শেখ জামাল জয়ী
",899,11.0,0.60625,60.62499999999999
20170971,"

আইনজীবীদের মর্যাদা ধূলায় লুটিয়ে দিয়েছে সরকার : রিজভী
",884,12.0,0.5958333333333333,59.583333333333336
20044698,লাগামহীন ইফতার দামে অস্বস্তি,869,13.0,0.5854166666666667,58.54166666666667
20170583,"

 জামিনে মুক্তি পাওয়া বিএনপির নেতাকর্মীরা খাঁচায় পোষা মুরগির মতো :  আব্বাস
",847,14.0,0.5701388888888889,57.013888888888886
20051627,রোজাদারদের জন্য নেই কোনো সুখবর,843,15.0,0.5673611111111111,56.73611111111111
20171547,"

গ্রাহকরা কীভাবে বুঝবেন কোন ব্যাংকের আর্থিক অবস্থা কেমন?
",837,16.0,0.5631944444444444,56.31944444444444
20168424,"

রমজান ঈদ এবং মূল্যবৃদ্ধি
",829,17.0,0.5576388888888889,55.76388888888889
20170697,"

গাজায় ইসরাইলকে সমর্থন : বাইডেনের বিরুদ্ধে ফুঁসছে আরব-আমেরিকানরা
",808,18.0,0.5430555555555555,54.30555555555555
20044721,আইনশৃঙ্খলা কমিটির সভায় ক্ষোভ,807,19.0,0.5423611111111111,54.23611111111111
20051833,সুদ-আসল দুটোই হারানোর শঙ্কা,806,20.0,0.5416666666666666,54.166666666666664
20044720,মাঠে নামছেন আওয়ামী লীগের কেন্দ্রীয় নেতারা,786,21.0,0.5277777777777778,52.77777777777778
20170608,"

খোশ আমদেদ মাহে রমজান
",762,22.0,0.5111111111111111,51.11111111111111
20170996,"

রমজানে মুমিনের করণীয়
",758,23.0,0.5083333333333333,50.83333333333333
20051932,এক কেন্দ্রেও জয় পাননি পরাজিত চার প্রার্থী,753,24.0,0.5048611111111111,50.48611111111111
20044726,এনায়েতপুরে ফের ইভটিজারের পক্ষে মাঠে নামলো আওয়ামী লীগ,740,25.0,0.49583333333333335,49.583333333333336
20044719,রহস্যের আবর্তে ৫ হত্যা,716,26.0,0.4791666666666667,47.91666666666667
