id,title,body_len,T3_rank,T3_S_scale,T3_S_score
20563743,রক্ষকই ভক্ষক,2114,1.0,1.0,100.0
20563635,"

আল্লাহর নৈকট্য অর্জনের সহজ উপায়
",1442,2.0,0.6790830945558739,67.90830945558739
20567594,"

ইফতারে কোন দেশে কী খাওয়া হয়
",1366,3.0,0.6427889207258835,64.27889207258835
20563643,"

বাংলাদেশে চার শক্তির প্রক্সিযুদ্ধ
",1340,4.0,0.6303724928366762,63.03724928366762
20563714,"

বাংলাদেশে চার শক্তির প্রক্সিযুদ্ধ
",1338,5.0,0.6294173829990449,62.94173829990449
20571250,"

রমজানে ভয়াবহ দুর্ভিক্ষের মুখোমুখি গাজাবাসী
",1325,6.0,0.6232091690544412,62.32091690544412
20563742,ইফতারে তৃষ্ণা মিটাতে জুটছে না শরবতও,1127,7.0,0.5286532951289399,52.865329512893986
20563615,"

 গাজার আল-শিফা হাসপাতালে রাতভর ইসরাইলি হামলা
",1127,7.0,0.5286532951289399,52.865329512893986
20563702,"

পদ্মার নাব্যতা রক্ষার চেষ্টা ব্যর্থ অবশেষে এক্সিমে বিলীন
",1102,9.0,0.5167144221585482,51.671442215854825
20563803,"এক্সিমে বিলীন পদ্মা, এরপর কোনটি?",1097,10.0,0.5143266475644699,51.43266475644699
20570453,"

‘কিংস পার্টি’তে সাকিবের ‘যোগদান’ নিয়ে যে নতুন দাবি
",1088,11.0,0.5100286532951289,51.00286532951289
20565787,"

মশা মারার বাজেট বাড়ে, মশাও বাড়ে
",1060,12.0,0.49665711556829034,49.66571155682903
20563763,রক্তপাত নাকি শান্তি কোন পথে ট্রাম্প!,1021,13.0,0.4780324737344795,47.80324737344795
20568858,"

জলদস্যুদের কবলে পড়া জাহাজে অভিযানের প্রস্তুতি, দুই দস্যু আটক
",1003,14.0,0.4694364851957975,46.94364851957975
20570447,"

সাড়ে চার বছরে গণপিটুনিতে নিহত ২২৫
",975,15.0,0.4560649474689589,45.60649474689589
20565128,"

মিয়ানমারে গৃহযুদ্ধ : বাংলাদেশ সীমান্ত থেকে সরেছে সংঘাত!
",931,16.0,0.4350525310410697,43.50525310410697
20569676,জনস্বাস্থ্য এবং অর্থনৈতিক উন্নয়নে তামাকপণ্যের দাম বৃদ্ধি জরুরি,853,17.0,0.39780324737344797,39.7803247373448
20569667,"

গুজরাটে নামাজ অবস্থায় হামলার শিকার বিদেশী ছাত্ররা যা জানিয়েছেন
",844,18.0,0.39350525310410694,39.350525310410696
20563602,"
তদন্তে তথ্য আহ্বান 
অবন্তিকার মৃত্যুর বিচার দাবিতে জবিতে অবস্থান কর্মসূচি
",824,19.0,0.3839541547277937,38.39541547277937
20567608,"

সেহেরির মাইকিং করায় ৫ যুবক পুলিশি হেনস্তার শিকার
",820,20.0,0.38204393505253104,38.2043935052531
20563705,"

রিশাদ ঝড়ে উড়ে গেল শ্রীলঙ্কা
টাইগারদের সিরিজ জয়
",814,21.0,0.37917860553963706,37.917860553963706
20563613,"

 আওয়ামী লীগ সরকারকে উৎখাত করা অসম্ভব : প্রধানমন্ত্রী
",809,22.0,0.37679083094555876,37.67908309455588
20569416,আড়াই মাসে ডেঙ্গুতে ২০ জনের মৃত্যু,791,23.0,0.3681948424068768,36.81948424068768
20563696,"
রাজপথে মৃত্যুর হানা 
মোটরসাইকেল দুর্ঘটনায় ৫ জনসহ নিহত ৭ 
সিলেটে পিকআপ-লেগুনার সংঘর্ষে আরো ৬ জন নিহত
",783,24.0,0.3643744030563515,36.43744030563515
20563713,"

আবারো আগুন!
",781,25.0,0.36341929321872013,36.341929321872016
20563641,"

আবারো আগুন!
",780,26.0,0.3629417382999045,36.29417382999045
20563639,"

মুসলিম বিশ্বের রাজনৈতিক ও কূটনৈতিক বিপর্যয় 
",772,27.0,0.35912129894937916,35.91212989493792
20563710,"

মুসলিম বিশ্বের রাজনৈতিক ও কূটনৈতিক বিপর্যয়
",772,27.0,0.35912129894937916,35.91212989493792
20563808,রিশাদ ঝড়ে সিরিজ জয়,765,29.0,0.3557784145176695,35.57784145176695
20565229,‘অযোগ্যতা বড় দুর্নীতি’ এবং ভালুকার গিয়াসউদ্দিন তালুকদার,756,30.0,0.35148042024832854,35.148042024832854
20563744,তারা ইফতার খায় আর আওয়ামী লীগের গিবত করে,731,31.0,0.33954154727793695,33.95415472779369
20567600,"

‘নবীর শিক্ষা জালিম সরকারের বিরুদ্ধে সত্য কথা বলাই সর্বোত্তম জিহাদ’
",700,32.0,0.3247373447946514,32.473734479465136
20563686,"

কুয়ালালামপুর হাইকমিশন থেকে আর ট্র্যাভেল পারমিট দেয়া হবে না
",672,33.0,0.3113658070678128,31.13658070678128
20563640,"
 স্মরণ 
রাজনৈতিক ও ধর্মীয় নেতা হাফেজ্জী হুজুর 
",671,34.0,0.3108882521489971,31.088825214899714
20563709,"
স্মরণ 
রাজনৈতিক ও ধর্মীয় নেতা হাফেজ্জী হুজুর
",669,35.0,0.3099331423113658,30.99331423113658
20563747,খালেদা জিয়ার বিদেশে চিকিৎসায় সরকারের না,663,36.0,0.30706781279847184,30.706781279847185
20563716,"
সাবেক সম্পাদক কাজলের জামিন নাকচ 
যুথিসহ ৪ আইনজীবীর জামিন শুনানিতে বিব্রত হাইকোর্ট
",658,37.0,0.3046800382043935,30.46800382043935
20563683,"

প্রতিভার আরেক নাম রিশাদ
",635,38.0,0.29369627507163326,29.369627507163326
20563603,"

নারায়ণগঞ্জে শেখ রাসেল পার্কে পাখির নিরাপদ অভয়াশ্রম তৈরি করেছে নাসিক 
পাখির জন্য বাসা বুনছে মানুষ
",621,39.0,0.28701050620821394,28.701050620821395
20563632,"

  পশ্চিম আফ্রিকা থেকে বিদায় নিচ্ছে যুক্তরাষ্ট্র!
",617,40.0,0.2851002865329513,28.510028653295127
20563760,ওসমানীর সাদেক ৩ দিনের রিমান্ডে,591,41.0,0.272683858643744,27.2683858643744
20563755,বোলিংয়ে তবুও ঘাটতি যেখানে,569,42.0,0.2621776504297994,26.21776504297994
20565786,"

রাফায় হামলা নিয়ে বাইডেন-নেতানিয়াহু ফোনালাপ
",566,43.0,0.2607449856733524,26.07449856733524
